번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
298,227100,디자인,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","3,405,431","1,702,715,500","500",원(KRW),02-868-0246,서울특별시 강남구 도산대로37길 17 스페이스엘빌딩 건물일체 ,1467
299,113810,디젠스,033003,자동차 신품 부품 제조업,"32,628,051","16,314,025,500","500",원(KRW),041-906-2100,경기도 시흥시 공단1대로27번길 38 (정왕동) ,1467
300,043360,디지아이,032603,컴퓨터 및 주변장치 제조업,"9,000,000","4,500,000,000","500",원(KRW),031-820-8900,경기도 양주시 청담로 52 (주)디지아이 ,1467
301,197140,디지캡,105802,소프트웨어 개발 및 공급업,"7,409,323","3,704,661,500","500",원(KRW),02-3477-2101,서울특별시 강서구 마곡중앙8로7길 11 &nbsp,1467
302,106520,디지탈옵틱,032703,사진장비 및 광학기기 제조업,"111,398,983","55,699,491,500","500",원(KRW),02-538-5370,경기도 화성시 동탄면 동탄산단2길 47 4층,1467
303,068930,디지털대성,168505,일반 교습 학원,"22,713,473","11,356,736,500","500",원(KRW),(02)2104-8600,서울특별시 서초구  방배로 181 단우빌딩  ,1467
304,033130,디지틀조선,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","37,115,267","18,557,633,500","500",원(KRW),02-3701-2821,서울특별시 중구  세종대로21길 52 (태평로1가) ,1467
305,105740,디케이락,032901,일반 목적용 기계 제조업,"8,449,912","4,224,956,000","500",원(KRW),055-338-0114,경상남도 김해시 주촌면 골든루트로129번길 7 ,1467
306,263020,디케이앤디,032202,플라스틱제품 제조업,"7,763,202","3,881,601,000","500",원(KRW),031-491-6633,경기도 안산시 단원구 별망로 345 ,1467
307,290550,디케이티,032602,전자부품 제조업,"8,231,333","4,115,666,500","500",원(KRW),070-4324-3293,인천광역시 부평구 안남로418번길 10 5층 ,1467
308,187220,디티앤씨,137209,기타 과학기술 서비스업,"10,951,507","5,475,753,500","500",원(KRW),031-329-3411,경기도 용인시 처인구 유림로154번길 42 ,1467
309,131180,딜리,032603,컴퓨터 및 주변장치 제조업,"29,350,000","2,935,000,000","100",원(KRW),031-860-5500,경기도 동두천시 강변로702번길 30 ,1467
310,317120,라닉스,032601,반도체 제조업,"9,595,500","4,874,670,000","500",원(KRW),02-584-5516,서울특별시 강남구 언주로135길 25 (논현동) ,1467
311,042510,라온시큐어,105802,소프트웨어 개발 및 공급업,"37,390,559","18,695,279,500","500",원(KRW),02-561-4545,"서울특별시 강남구 테헤란로 145 역삼동, 우신빌딩 11, 12, 13층 ",1467
312,300120,라온피플,105802,소프트웨어 개발 및 공급업,"10,497,456","5,248,728,000","500",원(KRW),1899-3058,경기도 성남시 분당구 판교로 723 분당테크노파크B동 402-1호 &nbsp,1467
313,050120,라이브플렉스,074604,생활용품 도매업,"135,640,864","69,092,015,500","500",원(KRW),02-3446-4875,"서울특별시 강남구 강남대로 556 12층(논현동, 논현빌딩) ",1467
314,171120,라이온켐텍,032004,기타 화학제품 제조업,"18,893,576","9,446,788,000","500",원(KRW),042-930-3300,대전 대덕구 문평동 41-5 ,1467
315,069540,라이트론,032604,통신 및 방송 장비 제조업,"23,174,379","11,587,189,500","500",원(KRW),(042)930-7700,대전광역시 대덕구  문평동로 68 (주)빛과전자 ,1467
316,214260,라파스,032004,기타 화학제품 제조업,"8,417,916","4,208,958,000","500",원(KRW),02-392-3011,서울특별시 강서구 마곡중앙8로1길 62 라파스 &nbsp;,1467
317,171010,램테크놀러지,032001,기초 화학물질 제조업,"11,606,968","5,803,484,000","500",원(KRW),031-323-1119,경기도 용인시 처인구  양지면 주북로 285 ,1467
318,084650,랩지노믹스,137001,자연과학 및 공학 연구개발업,"11,450,097","5,725,048,500","500",원(KRW),031-628-0702,경기도 성남시 분당구 대왕판교로 700 (삼평동) 6층 ,1467
319,217500,러셀,032902,특수 목적용 기계 제조업,"31,812,000","3,181,200,000","100",원(KRW),043-532-8818,충청북도 청주시 흥덕구 옥산면 옥산산단로 36 (호죽리),1467
320,033600,럭슬,033003,자동차 신품 부품 제조업,"52,828,103","26,414,051,500","500",원(KRW),031 -660 -9900,경기도 평택시  산단로 255 ,1467
321,141080,레고켐바이오,137001,자연과학 및 공학 연구개발업,"23,683,806","11,841,903,000","500",원(KRW),042-861-0688,대전광역시 대덕구 문평서로 8-26(문평동),1467
322,060300,레드로버,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","26,648,071","13,324,035,500","500",원(KRW),031-5171-3800,경기도 광주시 초월읍 현산로 343 - ,1467
323,038390,레드캡투어,147502,여행사 및 기타 여행보조 서비스업,"8,589,480","4,294,740,000","500",원(KRW),02-2001-4500,서울특별시 중구 을지로 100파인에비뉴 B동 19층 ,1467
324,294140,레몬,032005,화학섬유 제조업,"34,500,000","17,250,000,000","500",원(KRW),054-470-8800,경상북도 구미시 산동면 산호대로 1105-65 ,1467
325,228670,레이,032701,의료용 기기 제조업,"6,653,267","3,326,633,500","500",원(KRW),031-605-1000,경기도 화성시 삼성1로 332-7 ,1467
326,228850,레이언스,032701,의료용 기기 제조업,"16,591,014","8,295,507,000","500",원(KRW),031-8015-6277,경기도 화성시 삼성1로1길 14 &nbsp,1467
327,281740,레이크머티리얼즈,032004,기타 화학제품 제조업,"65,730,548","6,573,054,800","100",원(KRW),044-414-9400,세종특별자치시  전의면 산단길 22-144 -,1467
328,215100,로보로보,032809,기타 전기장비 제조업,"17,798,454","1,779,845,400","100",원(KRW),02-909-5050,서울특별시 강북구 도봉로54길 6 로보로보빌딩(미아동),1467
329,090360,로보스타,032902,특수 목적용 기계 제조업,"9,750,000","4,875,000,000","500",원(KRW),031-400-3600,경기도 안산시 상록구  수인로 700 ,1467
330,108490,로보티즈,032902,특수 목적용 기계 제조업,"11,251,000","5,625,500,000","500",원(KRW),070-8671-2600,서울특별시 강서구 마곡중앙5로1길 37 &nbsp,1467
331,900260,로스웰,116409,기타 금융업,"141,781,250","43,617,265,221","0",중국위안(CNY),,"Unit 402, 4th Floor, Fairmont House, No. 8 Cotton Tree Drive, Admiralty Hong Kong ",1467
332,067730,로지시스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","9,340,922","4,670,461,000","500",원(KRW),02-2125-6300,서울특별시 마포구 독막로 281 &nbsp,1467
333,071280,로체시스템즈,032902,특수 목적용 기계 제조업,"15,296,603","7,648,301,500","500",원(KRW),(031)335-9100,경기도 용인시 처인구 남사면 완장천로 448-34 로체시스템즈(주),1467
334,038060,루멘스,032601,반도체 제조업,"47,718,750","23,859,375,000","500",원(KRW),031-8033-2000,경기도 용인시 기흥구 원고매로 12 ,1467
335,085370,루트로닉,032701,의료용 기기 제조업,"25,708,191","13,187,661,500","500",원(KRW),031-926-7114,경기도 고양시 덕양구 소원로 219 ,1467
336,060240,룽투코리아,105802,소프트웨어 개발 및 공급업,"25,429,284","13,064,642,000","500",원(KRW),031-8068-6602,"경기도 안양시 동안구 부림로 170 41-13(관양동 1736-1), 4층 ",1467
337,058470,리노공업,032602,전자부품 제조업,"15,242,370","7,621,185,000","500",원(KRW),051-831-3232,부산광역시 강서구 미음산단로105번길 10 ,1467
338,039980,리노스,074704,"섬유, 의복, 신발 및 가죽제품 소매업","41,540,606","20,770,303,000","500",원(KRW),(02)3489-6800,"서울특별시 서초구 서운로 19 (서초동, 서초월드오피스텔) 4층 ",1467
339,019570,리더스 기술투자,116402,신탁업 및 집합투자업,"95,888,652","47,944,326,000","500",원(KRW),02-2051-9640,"서울특별시 강남구 테헤란로4길 14 미림타워 13층(역삼동,미림타워) ",1467
340,016100,리더스코스메틱,032004,기타 화학제품 제조업,"18,187,414","9,093,707,000","500",원(KRW),02-3453-8768,서울특별시 광진구 능동로 90 더클래식 500 씨 404호 ,1467
341,012700,리드코프,074607,기타 전문 도매업,"26,446,135","13,777,741,000","500",원(KRW),02  -2126-5000,서울특별시 영등포구  은행로 25 안원빌딩 6층 ,1467
342,302550,리메드,032701,의료용 기기 제조업,"6,088,916","3,044,458,000","500",원(KRW),042-934-5560,대전광역시 유성구 테크노2로 187 미건테크노월드2차 301호~303호,1467
343,029480,릭스솔루션,032604,통신 및 방송 장비 제조업,"79,665,776","7,966,577,600","100",원(KRW),02  -3459-0620,"서울특별시 강남구 강남대로 262 18층(도곡동, 캠코양재타워) ",1467
344,277070,린드먼아시아,116402,신탁업 및 집합투자업,"13,500,000","6,750,000,000","500",원(KRW),070-7019-4006,"서울특별시 강남구 테헤란로 234, 4층(역삼동, 삼익빌딩) &nbsp",1467
345,042500,링네트,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","15,216,878","7,608,439,000","500",원(KRW),02-6675-1251,"서울특별시 구로구 디지털로33길 27 409호 (구로동, 삼성IT밸리 4층) ",1467
346,219420,링크제니시스,105802,소프트웨어 개발 및 공급업,"10,000,000","1,000,000,000","100",원(KRW),031-422-3581,"경기도 안양시 동안구 시민대로 401, 319호(관양동, 대륭테크노타운15차) &nbsp",1467
347,195500,마니커에프앤지,031001,"도축, 육류 가공 및 저장 처리업","10,768,000","5,384,000,000","500",원(KRW),031-899-1114,경기도 용인시 처인구 이동면 백옥대로144번길 36-2 &nbsp,1467
348,222810,마이더스AI,105802,소프트웨어 개발 및 공급업,"120,052,271","12,005,227,100","100",원(KRW),02-3497-8900,"서울특별시 강남구 역삼로 413 대치상부타워 4, 5층",1467
349,305090,마이크로디지탈,032701,의료용 기기 제조업,"7,261,600","3,630,800,000","500",원(KRW),031-701-2225,경기도 성남시 분당구 판교로228번길 15 제윈스동 701호,1467
350,098120,마이크로컨텍솔,032602,전자부품 제조업,"8,312,766","4,156,383,000","500",원(KRW),041-621-4331,충청남도 천안시 서북구 성거읍 오송2길 15-21 ,1467
351,147760,마이크로프랜드,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","10,819,866","5,409,933,000","500",원(KRW),02-944-6400,"서울특별시 노원구 공릉로 232, 10층(공릉동, 서울테크노파크) ",1467
352,038290,마크로젠,137309,"그외 기타 전문, 과학 및 기술 서비스업","10,631,654","5,315,827,000","500",원(KRW),02-2113-7000,서울특별시 금천구  벚꽃로 254 월드메르디앙1차 ,1467
353,267980,매일유업,031005,낙농제품 및 식용빙과류 제조업,"7,843,638","3,921,819,000","500",원(KRW),02-2117-2113,서울특별시 종로구 종로1길 50 &nbsp,1467
354,005990,매일홀딩스,031005,낙농제품 및 식용빙과류 제조업,"13,718,304","6,859,152,000","500",원(KRW),02-2127-2113,서울시 종로구 종로1길 50 더케이트윈타워A동 ,1467
355,127160,매직마이크로,032602,전자부품 제조업,"77,793,069","7,779,306,900","100",원(KRW),070-8680-3792,경기도 안산시 단원구 성곡로 208 다동 5호,1467
356,093520,매커스,074605,기계장비 및 관련 물품 도매업,"16,163,092","8,081,546,000","500",원(KRW),02-3490-9500,서울특별시 강남구 봉은사로44길 73 ,1467
357,141070,맥스로텍,032902,특수 목적용 기계 제조업,"35,895,350","17,947,675,000","500",원(KRW),053-584-6540,대구광역시 달서구 성서로71길 40 - ,1467
358,100590,머큐리,032604,통신 및 방송 장비 제조업,"14,763,600","7,381,800,000","500",원(KRW),032-580-3114,인천광역시 서구 가재울로 90 ,1467
359,067280,멀티캠퍼스,168506,기타 교육기관,"5,926,779","2,963,389,500","500",원(KRW),02-6262-9114,서울특별시 강남구 언주로 508 서울상록회관 17층,1467
360,072870,메가스터디,105801,"서적, 잡지 및 기타 인쇄물 출판업","11,920,959","5,960,479,500","500",원(KRW),02-6984-6814,"서울특별시 서초구 효령로 304 24층(서초동, 국제전자센터) ",1467
361,215200,메가스터디교육,168505,일반 교습 학원,"11,841,880","1,184,188,000","100",원(KRW),02-3489-8200,서울특별시 서초구 효령로 321 덕원빌딩 &nbsp,1467
362,133750,메가엠디,168505,일반 교습 학원,"23,407,077","11,703,538,500","500",원(KRW),02-3489-8346,서울특별시 서초구 효령로 321 ,1467
363,235980,메드팩토,137001,자연과학 및 공학 연구개발업,"20,342,842","10,171,421,000","500",원(KRW),02-6938-0200,"서울특별시 서초구 명달로 92, 보림빌딩 ",1467
364,041920,메디아나,032701,의료용 기기 제조업,"8,650,496","4,325,248,000","500",원(KRW),033-742-5400,강원도 원주시 문막읍 동화공단로 132 ,1467
365,014100,메디앙스,032004,기타 화학제품 제조업,"11,800,000","5,900,000,000","500",원(KRW),02-6283-6790,서울특별시 강남구 논현로64길 4 5층~6층,1467
366,054180,메디콕스,033101,선박 및 보트 건조업,"43,760,276","21,880,138,000","500",원(KRW),02-3218-9500,서울특별시 강남구 논현로75길 10 영창빌딩 4층,1467
367,086900,메디톡스,032101,기초 의약물질 및 생물학적 제제 제조업,"5,977,449","2,988,724,500","500",원(KRW),043-217-1555,충청북도 청원군  오창읍 각리1길 78 (주)메디톡스,1467
368,078160,메디포스트,032101,기초 의약물질 및 생물학적 제제 제조업,"15,617,842","7,808,921,000","500",원(KRW),02-3465-6677,경기도 성남시 분당구 대왕판교로 644번길21 -,1467
369,065650,메디프론,074605,기계장비 및 관련 물품 도매업,"37,199,870","18,599,935,000","500",원(KRW),02-545-9277,"서울특별시 금천구 가산디지털1로 186 제에이동 제5층 제517호(가산동, 제이플라츠) ",1467
370,021880,메이슨캐피탈,116409,기타 금융업,"99,184,408","49,592,204,000","500",원(KRW),02-3440-1600,전라북도 전주시 완산구 기린대로 213 대우빌딩 14층 12호 ,1467
371,140410,메지온,137001,자연과학 및 공학 연구개발업,"8,892,706","4,446,353,000","500",원(KRW),02-560-8000,서울특별시 강남구 삼성로 570 석천빌딩 7층 ,1467
372,241770,메카로,032004,기타 화학제품 제조업,"10,102,240","5,301,120,000","500",원(KRW),031-646-4400,경기도 평택시 산단로121번길 89 (주)메카로 ,1467
373,059210,메타바이오메드,032103,의료용품 및 기타 의약 관련제품 제조업,"23,862,351","11,931,175,500","500",원(KRW),043-218-1981,충청북도 청주시 흥덕구  오송읍 오송생명1로 270 ,1467
374,327260,메탈라이프,032602,전자부품 제조업,"3,596,588","1,798,294,000","500",원(KRW),031-499-2817,"경기도 안산시 단원구 강촌로 213, 215(목내동) .",1467
375,058110,멕아이씨에스,032701,의료용 기기 제조업,"6,989,265","3,494,632,500","500",원(KRW),070-7119-2500,경기도 파주시 상지석길 21 ,1467
376,096640,멜파스,032602,전자부품 제조업,"33,571,393","16,785,696,500","500",원(KRW),031-707-2280,경기도 성남시 분당구 판교역로 225-14 ,1467
377,257370,명성티엔에스,032902,특수 목적용 기계 제조업,"6,440,809","3,220,404,500","500",원(KRW),053-582-3577,대구광역시 달서구 성서공단로25길 16 &nbsp,1467
378,080420,모다이노칩,074704,"섬유, 의복, 신발 및 가죽제품 소매업","79,721,622","39,860,811,000","500",원(KRW),031-315-7250,경기도 안산시 단원구  동산로27번길 42-7 이노칩테크놀러지(주) ,1467
379,080160,모두투어,147502,여행사 및 기타 여행보조 서비스업,"18,900,000","9,450,000,000","500",원(KRW),02-728-8000,서울특별시 중구  을지로 16 프레지던트호텔 5층 모두투어네트워크,1467
380,100030,모바일리더,105802,소프트웨어 개발 및 공급업,"3,283,714","1,641,857,000","500",원(KRW),02-2051-4151,서울특별시 강남구 테헤란로 131 16층 ,1467
381,087260,모바일어플라이언스,105802,소프트웨어 개발 및 공급업,"32,462,446","16,231,223,000","500",원(KRW),031-421-8071,경기도 안양시 동안구 시민대로 401 ,1467
382,101330,모베이스,032604,통신 및 방송 장비 제조업,"23,958,188","11,979,094,000","500",원(KRW),032-529-4200,경기도 화성시 동탄첨단산업1로 73 (영천동) ,1467
383,012860,모베이스전자,033003,자동차 신품 부품 제조업,"54,476,780","27,238,390,000","500",원(KRW),031-5174-3000,경기도 수원시 권선구 산업로156번길 100 (고색동) ,1467
384,250060,모비스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","32,171,314","3,217,131,400","100",원(KRW),02-3771-3423,경기도 성남시 분당구 판교로 253 이노밸리C동 2층 203호,1467
385,033200,모아텍,032602,전자부품 제조업,"14,331,185","7,665,592,500","500",원(KRW),032-810-9000,인천광역시 남동구  인주대로 698 (주)모아텍 ,1467
386,118990,모트렉스,033003,자동차 신품 부품 제조업,"39,001,039","3,900,103,900","100",원(KRW),070-4862-6100,경기도 성남시 분당구 황새울로258번길 25 서영빌딩 12층 ,1467
387,006920,모헨즈,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업","10,920,000","5,460,000,000","500",원(KRW),02  -571 -3011,충남 충남시 풍세면 남관리 195 ,1467
388,001810,무림SP,031701,"펄프, 종이 및 판지 제조업","22,137,500","11,068,750,000","500",원(KRW),02  -3485-1603,서울특별시 강남구  강남대로 656 (신사동) ,1467
389,279600,미디어젠,105802,소프트웨어 개발 및 공급업,"4,638,281","2,319,140,500","500",원(KRW),02-6429-7171,경기도 성남시 분당구 성남대로331번길 8 킨스타워(정자동) 11층 1103호실 ,1467
390,028040,미래SCI,074601,상품 중개업,"44,979,502","22,489,751,000","500",원(KRW),043-710-0112,충북 청원군 옥산면 남촌리 1108-3 ,1467
391,095500,미래나노텍,032202,플라스틱제품 제조업,"25,658,316","12,829,158,000","500",원(KRW),043-710-1100,충청북도 청원군  옥산면 과학산업1로 16 미래나노텍(주),1467
392,218150,미래생명자원,031008,동물용 사료 및 조제식품 제조업,"18,671,428","1,867,142,800","100",원(KRW),02-2203-7397,"서울특별시 송파구 법원로9길 26 D동 506 ~ 512호(문정동, H business PARK)",1467
393,353490,미래에셋대우스팩 5호,116601,금융 지원 서비스업,"5,060,000","506,000,000","100",원(KRW),02-3774-7312,서울특별시 중구 을지로5길 26 미래에셋 센터원(Mirae Asset CENTER1) ,1467
394,328380,미래에셋대우스팩3호,116601,금융 지원 서비스업,"6,482,000","648,200,000","100",원(KRW),02-3774-8388,"서울특별시 중구 을지로5길 26(수하동, 미래에셋 센터원빌딩 이스트타워) &nbsp;",1467
395,333430,미래에셋대우스팩4호,116601,금융 지원 서비스업,"4,390,000","439,000,000","100",원(KRW),02-3774-3762,"서울특별시 중구 을지로5길 26(수하동, 미래에셋센터원 이스트타워) ",1467
396,100790,미래에셋벤처투자,116409,기타 금융업,"46,000,823","46,500,823,000","1,000",원(KRW),070-4800-2104,경기도 성남시 분당구 판교역로241번길 20 ,1467
397,049950,미래컴퍼니,032902,특수 목적용 기계 제조업,"8,362,306","4,181,153,000","500",원(KRW),(031)350-9801,경기도 화성시  양감면 정문송산로 69-12 ,1467
398,213090,미래테크놀로지,105802,소프트웨어 개발 및 공급업,"6,120,788","3,060,394,000","500",원(KRW),070-8890-1537,서울특별시 구로구 디지털로26길 123 지플러스코오롱디지털타워 907호,1467
399,207760,미스터블루,106309,기타 정보 서비스업,"24,746,635","2,474,663,500","100",원(KRW),02-337-0610,"서울특별시 마포구 월드컵북로6길 18 (동교동, 미스터블루빌딩)",1467
400,059090,미코,032601,반도체 제조업,"31,316,603","15,658,301,500","500",원(KRW),031-610-7967,경기도 안성시 대덕면 모산로 53 - ,1467
401,214610,미코바이오메드,032701,의료용 기기 제조업,"18,151,744","9,075,872,000","500",원(KRW),070-5227-6000,"경기도 성남시 수정구 창업로 54 가동 3층, 4층 ",1467
402,201490,미투온,105802,소프트웨어 개발 및 공급업,"31,257,770","15,628,885,000","500",원(KRW),02-515-2864,서울특별시 강남구 학동로 343 더피나클강남 6층 ,1467
403,950190,미투젠,105802,소프트웨어 개발 및 공급업,"13,452,425","0","0",홍콩달러(HKD),02-6004-3329,"Flat A,31/F, Montery Plaza, 15 Chong Yip Street, Kowloon, Hongkong ",1467
404,214180,민앤지,106309,기타 정보 서비스업,"12,362,476","6,341,238,000","500",원(KRW),02-929-4463,서울특별시 강남구 테헤란로34길 6 태광타워 13층 ,1467
405,206640,바디텍메드,032103,의료용품 및 기타 의약 관련제품 제조업,"23,486,560","23,486,560,000","1,000",원(KRW),02-2004-4938,강원도 춘천시 동내면 거두단지1길 43 -,1467
406,018700,바른손,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","29,471,487","29,471,487,000","1,000",원(KRW),02  -596-4411,"경기도 수원시 영통구 대학3로 1 5층 (이의동, 광교K타워)",1467
407,035620,바른손이앤에이,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","73,488,503","36,744,251,500","500",원(KRW),070-7609-1404,서울특별시 용산구 한남대로 130 볼보빌딩 3층 ,1467
408,064520,바른전자,032601,반도체 제조업,"73,686,477","36,843,238,500","500",원(KRW),031-8020-6000,경기도 화성시  동탄면 경기동로 548 ,1467
409,053030,바이넥스,032102,의약품 제조업,"31,751,048","15,875,524,000","500",원(KRW),(051)261-6611,부산광역시 사하구 다대로 368-3 ,1467
410,301300,바이브컴퍼니,105802,소프트웨어 개발 및 공급업,"5,394,170","2,697,085,000","500",원(KRW),02-565-0531,서울특별시 용산구 독서당로 97 (한남동) ,1467
411,064550,바이오니아,032103,의료용품 및 기타 의약 관련제품 제조업,"25,132,038","12,566,019,000","500",원(KRW),042-936-8500,대전광역시 대덕구  문평서로 8-11 (주)바이오니아 ,1467
412,208710,바이오로그디바이스,032602,전자부품 제조업,"28,870,357","2,887,035,700","100",원(KRW),031-831-3696,"경기도 용인시 수지구 광교중앙로 338 (상현동, 광교우미뉴브) B동 6층 ",1467
413,142760,바이오리더스,137001,자연과학 및 공학 연구개발업,"27,412,216","13,706,108,000","500",원(KRW),042-934-7671,"경기도 용인시 수지구 신수로 767 7층 (동천동, 분당수지유타워 지식산업센터) ",1467
414,086820,바이오솔루션,032101,기초 의약물질 및 생물학적 제제 제조업,"8,091,426","4,045,713,000","500",원(KRW),02-3446-8884,"서울특별시 노원구 공릉로 232 8층 803호(공릉동, 서울테크노파크)",1467
415,038460,바이오스마트,032602,전자부품 제조업,"20,087,800","10,043,900,000","500",원(KRW),02-3218-9000,서울특별시 성동구 광나루로 172- ,1467
416,086040,바이오톡스텍,137001,자연과학 및 공학 연구개발업,"14,625,123","7,312,561,500","500",원(KRW),043-210-7777,충청북도 청주시 청원구 오창읍 연구단지로 53 ,1467
417,032980,바이온,074603,음·식료품 및 담배 도매업,"62,785,551","31,392,775,500","500",원(KRW),02-516-0720,충청북도 청주시 청원구 오창읍 화산여천길 63-32 2층(여천리) ,1467
418,043150,바텍,032701,의료용 기기 제조업,"14,854,256","7,427,128,000","500",원(KRW),031-679-2000,경기도 화성시  삼성1로2길 13(석우동) ,1467
419,323990,박셀바이오,137001,자연과학 및 공학 연구개발업,"7,523,000","3,761,500,000","500",원(KRW),061-373-0046,전라남도 화순군 화순읍 산단길 12-55 ,1467
420,267790,배럴,031401,봉제의복 제조업,"7,885,500","3,942,750,000","500",원(KRW),02-335-3176,"서울특별시 강남구 논현로 709, 4층(논현동, 로얄빌딩) ",1467
421,046310,백금T&A,032604,통신 및 방송 장비 제조업,"16,418,641","8,209,320,500","500",원(KRW),031-488-7900,"경기도 군포시 엘에스로 153-18(산본동) L&C타워 4,5,6층 ",1467
422,036620,버추얼텍,074607,기타 전문 도매업,"69,111,364","34,555,682,000","500",원(KRW),02  -333 -3012,"서울특별시 서초구 방배로 162 서울시 서초구 방배로 162, 4층(예광빌딩) ",1467
423,066410,버킷스튜디오,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","34,941,142","17,470,571,000","500",원(KRW),(02)3452-5079,서울특별시 강남구 언주로135길 21 - ,1467
424,206400,베노홀딩스,105802,소프트웨어 개발 및 공급업,"22,238,261","11,119,130,500","500",원(KRW),02-3461-2150,서울특별시 강남구 언주로134길 4 IB타워 6층 ,1467
425,019010,베뉴지,074701,종합 소매업,"48,200,000","24,100,000,000","500",원(KRW),02-3665-0101,서울특별시 강남구 선릉로62길 15 ,1467
426,177350,베셀,032902,특수 목적용 기계 제조업,"11,192,368","5,596,184,000","500",원(KRW),031-683-3953,경기도 수원시 권선구 산업로155번길 281 -,1467
427,299910,베스파,105802,소프트웨어 개발 및 공급업,"8,071,688","4,035,844,000","500",원(KRW),02-6954-0889,"서울특별시 강남구 테헤란로83길 15, 제이엠빌딩 9층 &nbsp",1467
428,225530,보광산업,032309,기타 비금속 광물제품 제조업,"36,338,727","18,169,363,500","500",원(KRW),053-384-0881,대구광역시 북구 유통단지로3길 40 &nbsp,1467
429,250000,보라티알,074603,음·식료품 및 담배 도매업,"6,750,733","3,375,366,500","500",원(KRW),02-538-3373,"서울특별시 강남구 학동로 506, 4층 (삼성동, 보라빌딩) &nbsp",1467
430,006910,보성파워텍,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업","46,073,059","23,036,529,500","500",원(KRW),031 -491 -0311,충청북도 충주시 주덕읍 대창길 70 -,1467
431,226340,본느,032004,기타 화학제품 제조업,"30,699,596","3,069,959,600","100",원(KRW),02-3787-2429,서울특별시 송파구 송파대로22길 5-15 -,1467
432,014470,부방,116409,기타 금융업,"60,052,260","30,026,130,000","500",원(KRW),02-2008-7272,서울특별시 강남구  삼성로 528 부방빌딩 ,1467
433,008470,부스타,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업","8,404,800","4,202,400,000","500",원(KRW),043-536-9107,충청북도 진천군  이월면 고등2길 18 (주)부스타보일러 ,1467
434,100120,뷰웍스,032701,의료용 기기 제조업,"10,001,865","5,000,932,500","500",원(KRW),070-7011-6190,경기도 안양시 동안구 부림로 17041-3 ,1467
435,337930,브랜드엑스코퍼레이션,106309,기타 정보 서비스업,"19,062,968","9,531,484,000","500",원(KRW),02-6959-2362,"서울특별시 성동구 뚝섬로1길 63, 12층(성수동1가, 영창디지털타워) ",1467
436,066980,브레인콘텐츠,106309,기타 정보 서비스업,"177,418,281","88,709,140,500","500",원(KRW),02-2017-7933,서울특별시 강남구 테헤란로 325 어반벤치빌딩 14층 ,1467
437,064480,브리지텍,105802,소프트웨어 개발 및 공급업,"11,952,500","6,176,250,000","500",원(KRW),02-3430-4114,"서울특별시 영등포구 국제금융로2길 32 여의도파이낸스타워 17,18층 ",1467
438,288330,브릿지바이오,032101,기초 의약물질 및 생물학적 제제 제조업,"19,181,174","9,590,587,000","500",원(KRW),031-8092-3280,"경기도 성남시 분당구 판교로 255번길 58, 303호 (삼평동, 씨즈타워) ",1467
439,251630,브이원텍,032902,특수 목적용 기계 제조업,"15,050,580","7,525,290,000","500",원(KRW),031-607-5540,"경기도 성남시 분당구 대왕판교로 660, A-710 (삼평동, 유스페이스1) &nbsp",1467
440,018290,브이티지엠피,032603,컴퓨터 및 주변장치 제조업,"34,159,521","17,079,760,500","500",원(KRW),031 -943 -4600,경기도 파주시  산업단지길 139 (주)G.M.P ,1467
441,263920,블러썸엠앤씨,033309,그외 기타 제품 제조업,"13,723,172","6,861,586,000","500",원(KRW),032-722-3456,인천광역시 서구 원적로7번길 29 (주)에스엔피월드 ,1467
442,033560,블루콤,032605,영상 및 음향기기 제조업,"18,088,047","9,600,000,000","500",원(KRW),032-810-0500,인천광역시 연수구  벤처로 116 (주)블루콤 ,1467
443,126340,비나텍,032802,일차전지 및 축전지 제조업,"4,901,300","2,450,650,000","500",원(KRW),063-715-3020,전라북도 전주시 덕진구 운암로 15 &nbsp,1467
444,121800,비덴트,032604,통신 및 방송 장비 제조업,"45,502,014","22,751,007,000","500",원(KRW),070-8668-6611,"서울특별시 금천구  가산디지털1로 84 (가산동, 에이스하이엔드 8차 12층)",1467
445,148140,비디아이,032901,일반 목적용 기계 제조업,"20,379,605","10,189,802,500","500",원(KRW),02-2082-8890,경기도 화성시 팔탄면 서해로 1155 &nbsp,1467
446,082800,비보존 헬스케어,032601,반도체 제조업,"140,651,093","70,325,546,500","500",원(KRW),031-213-9200,경기도 용인시 처인구 남사면 삼인로 15 - ,1467
